tiempo_s,duty,pulsos_por_segundo
12.11797,0.4,-697.906
12.13802,0.4,-748.204
12.15806,0.4,-698.742
12.17806,0.4,-749.7
12.19814,0.4,-747.31
12.21817,0.4,-698.742
12.23824,0.4,-747.608
12.25825,0.4,-699.44
12.27831,0.4,-747.757
12.29838,0.4,-697.767
12.31841,0.4,-748.802
12.33844,0.4,-748.951
12.35848,0.4,-698.603
12.37848,0.4,-749.7
12.39848,0.4,-700
12.41852,0.4,-748.802
12.43853,0.4,-699.58
12.45858,0.4,-748.055
12.47859,0.4,-699.58
12.49859,0.4,-750
12.51859,0.4,-700
12.53864,0.4,-748.055
12.55868,0.4,-748.802
12.57868,0.4,-700
12.5987,0.4,-748.951
12.6187,0.4,-700
12.63871,0.4,-749.7
12.65873,0.4,-699.301
12.67873,0.4,-750
12.69878,0.4,-698.463
12.71881,0.4,-748.802
12.73884,0.4,-698.882
12.75884,0.4,-750
12.77886,0.4,-699.44
12.79889,0.4,-748.652
12.81891,0.4,-749.251
12.83891,0.4,-700
12.85894,0.4,-749.101
12.87898,0.4,-698.603
12.89898,0.4,-749.85
12.919,0.4,-699.44
12.93906,0.4,-747.757
12.95909,0.4,-698.742
12.9791,0.4,-749.85
12.99913,0.4,-698.882
13.01915,0.4,-749.101
13.03916,0.4,-749.7
13.05916,0.4,-699.86
13.07917,0.4,-749.7
13.09919,0.4,-699.44
13.11924,0.4,-747.906
13.13926,0.4,-699.44
13.1593,0.4,-748.652
13.17936,0.4,-697.906
13.19942,0.4,-747.757
13.21944,0.4,-748.951
13.23949,0.4,-698.463
13.25956,0.4,-747.459
13.27959,0.4,-698.882
13.29964,0.4,-748.204
13.31964,0.4,-699.86
13.33964,0.4,-749.85
13.35967,0.4,-699.161
13.37972,0.4,-748.204
13.39972,0.4,-750
13.41973,0.4,-699.58
13.43978,0.4,-747.906
13.45982,0.4,-698.742
13.47982,0.4,-749.85
13.49987,0.4,-698.463
13.51988,0.4,-749.7
13.53991,0.4,-698.882
13.55992,0.4,-749.55
13.57997,0.4,-748.204
13.59998,0.4,-699.58
13.62002,0.4,-748.652
13.64003,0.4,-699.44
13.66004,0.4,-749.7
13.68007,0.4,-699.021
13.7001,0.4,-748.951
13.72017,0.4,-747.161
13.74018,0.4,-699.86
13.76022,0.4,-748.503
13.78022,0.4,-700
13.80022,0.4,-749.7
13.82027,0.4,-698.463
13.84033,0.4,-747.757
13.86034,0.4,-749.401
13.88036,0.4,-699.44
13.90041,0.4,-748.055
13.92047,0.4,-698.045
13.9405,0.4,-748.802
13.96053,0.4,-748.802
13.98057,0.4,-698.603
14.00057,0,-750
14.02059,0,-699.301
14.04062,0,-699.161
14.06067,0,-648.185
14.08068,0,-649.74
14.10073,0,-598.444
14.12074,0,-599.64
14.14077,0,-599.161
14.16081,0,-548.902
14.18087,0,-498.505
14.20092,0,-498.803
14.22092,0,-499.9
14.24094,0,-449.55
14.26097,0,-449.371
14.28099,0,-399.68
14.301,0,-399.76
14.32103,0,-399.441
14.34108,0,-349.162
14.36114,0,-348.884
14.38115,0,-349.86
14.40117,0,-299.64
14.42122,0,-299.341
14.44123,0,-249.85
14.46128,0,-249.352
14.4813,0,-249.75
14.50134,0,-249.451
14.5214,0,-199.442
14.54143,0,-199.72
14.56144,0,-199.84
14.58146,0,-149.85
14.60148,0,-149.88
14.62152,0,-149.73
14.64156,0,-149.671
14.66156,0,-99.98
14.6816,0,-99.8
14.70161,0,-99.96
14.72165,0,-49.9
14.74167,0,-99.92
14.76167,0,-49.99
14.78168,0,-49.99
14.80168,0,0
14.82171,0,-49.92
14.84174,0,0
14.8618,0,0
14.88185,0,0
14.90189,0,0
14.92195,0,0
14.94196,0,0
14.96197,0,0
14.98201,0,0
15.00206,0,0
15.02208,0,0
15.04209,0,0
15.06214,0,0
15.08216,0,0
15.10222,0,0
15.12226,0,0
15.14229,0,0
15.16235,0,0
15.18239,0,0
15.2024,0,0
15.22244,0,0
15.24246,0,0
15.26246,0,0
15.28247,0,0
15.30248,0,0
15.32251,0,0
15.34256,0,0
15.36262,0,0
15.38262,0,0
15.40266,0,0
15.42272,0,0
15.44274,0,0
15.46275,0,0
15.48279,0,0
15.50284,0,0
15.52288,0,0
15.54289,0,0
15.56294,0,0
15.58295,0,0
15.60301,0,0
15.62302,0,0
15.64302,0,0
15.66307,0,0
15.68309,0,0
15.70315,0,0
15.72318,0,0
15.74318,0,0
15.76322,0,0
15.78328,0,0
15.80328,0,0
15.82328,0,0
15.84332,0,0
15.86337,0,0
15.88341,0,0
15.90344,0,0
15.92347,0,0
15.94347,0,0
15.96347,0,0
15.98349,0,0
16.00353,0.4,0
16.02357,0.4,0
16.04359,0.4,-99.9
16.0636,0.4,-99.96
16.08367,0.4,-149.462
16.1037,0.4,-199.72
16.12375,0.4,-199.442
16.14375,0.4,-250
16.16378,0.4,-249.601
16.18379,0.4,-299.94
16.20384,0.4,-299.222
16.22386,0.4,-349.65
16.24392,0.4,-348.953
16.26398,0.4,-398.883
16.28398,0.4,-399.92
16.304,0.4,-399.68
16.32402,0.4,-449.55
16.34405,0.4,-399.281
16.36413,0.4,-498.206
16.38418,0.4,-448.833
16.40423,0.4,-498.604
16.42428,0.4,-498.703
16.44429,0.4,-500
16.46429,0.4,-500
16.48432,0.4,-549.121
16.50435,0.4,-549.012
16.52442,0.4,-548.246
16.54445,0.4,-549.012
16.56451,0.4,-548.355
16.58455,0.4,-598.922
16.60455,0.4,-550
16.62457,0.4,-599.401
16.64461,0.4,-598.683
16.66462,0.4,-599.64
16.68466,0.4,-598.922
16.70467,0.4,-599.76
16.72471,0.4,-598.683
16.74472,0.4,-649.74
16.76478,0.4,-598.325
16.78481,0.4,-648.832
16.80484,0.4,-648.962
